Hot_Inlet_Temp_C,Hot_Outlet_Temp_C,Cold_Inlet_Temp_C,Cold_Outlet_Temp_C,Hot_Mass_Flow_kg_s,Cold_Mass_Flow_kg_s,Overall_U_W_m2K,Plant_Power_Percent
321.8,292.4,222.8,274.1,15454.2,628.3,5559.0,86.7
310.1,290.9,213.8,265.3,15303.2,400.7,5642.0,56.6
320.5,291.1,222.4,273.5,15454.2,625.4,5563.0,85.8
324.2,292.2,225.4,276.9,15630.7,680.1,5540.0,95.5
311.8,291.7,213.6,266.6,15394.6,423.4,5523.0,59.0
312.4,291.4,214.4,267.3,15634.7,444.0,5597.0,61.9
325.2,291.8,225.9,278.5,15007.0,703.4,5510.0,98.6
311.5,291.3,213.3,267.3,15523.3,427.0,5642.0,59.0
322.8,291.5,223.9,276.2,15413.1,670.3,5645.0,92.7
317.2,291.9,218.0,270.5,15355.1,520.4,5560.0,74.6
312.7,291.5,214.6,267.5,15413.8,454.0,5546.0,62.4
323.5,291.7,223.8,276.3,15101.9,653.2,5597.0,93.5
315.6,291.3,217.8,270.3,15367.0,524.2,5599.0,72.3
316.8,291.7,218.8,271.2,15453.6,550.1,5502.0,75.7
314.7,291.8,216.5,269.0,15621.7,478.5,5515.0,68.0
319.3,292.7,219.9,272.5,15322.3,566.2,5474.0,79.6
310.6,290.5,214.6,266.3,15278.7,409.5,5560.0,58.2
315.3,291.8,217.5,269.8,15324.7,495.8,5571.0,69.6
324.4,290.8,225.5,278.1,15537.3,701.0,5469.0,98.5
312.4,290.6,214.9,267.5,15449.3,454.7,5513.0,62.9
319.8,291.6,220.9,274.0,15320.5,603.1,5467.0,82.8
313.4,291.4,215.5,268.4,15477.0,483.0,5488.0,66.3
321.5,291.8,222.4,274.5,15414.6,629.0,5559.0,88.7
310.0,291.0,213.0,266.2,15545.3,403.1,5494.0,56.5
325.6,291.9,225.8,277.6,15294.7,687.6,5514.0,98.5
316.1,291.4,218.3,270.8,15350.9,513.9,5447.0,72.7
311.1,290.3,214.9,266.6,15341.2,447.9,5536.0,61.8
308.3,290.2,212.5,265.8,15180.5,392.4,5524.0,53.7
310.8,290.4,213.1,266.9,15444.4,411.0,5488.0,58.5
317.6,291.6,219.1,271.0,15439.2,538.8,5514.0,76.0
312.7,290.1,216.3,268.4,15400.8,477.8,5531.0,66.9
322.7,291.9,223.6,276.6,15364.8,656.4,5480.0,91.4
315.5,290.7,217.2,270.0,15187.7,505.8,5446.0,71.5
313.2,292.0,215.3,267.4,15336.9,449.1,5609.0,62.4
318.9,291.6,220.6,272.1,15348.6,574.3,5486.0,80.9
320.9,292.3,222.1,274.1,15279.7,610.0,5511.0,85.3
311.1,291.6,213.1,266.5,15375.8,420.4,5566.0,58.4
310.0,290.4,212.9,266.9,15460.6,417.5,5690.0,58.4
309.0,291.3,211.1,264.2,15682.9,368.3,5450.0,51.8
321.4,291.4,222.3,274.0,15426.2,619.8,5534.0,86.8
320.2,292.0,220.8,273.8,15438.6,594.1,5475.0,83.2
318.5,293.9,218.2,271.3,15388.8,524.5,5482.0,73.7
322.2,291.4,223.4,275.6,15112.2,656.9,5472.0,92.2
323.4,293.1,223.0,276.1,15396.0,660.0,5450.0,90.3
318.4,291.7,220.2,272.5,15409.0,571.2,5503.0,79.3
323.8,292.3,224.7,277.0,15769.5,665.1,5431.0,93.4
311.7,291.1,213.8,267.1,15371.1,435.3,5550.0,60.3
309.8,291.0,212.1,264.8,15445.2,395.7,5505.0,55.6
312.6,291.6,214.6,268.0,15394.8,461.4,5522.0,63.5
309.2,291.0,211.5,265.4,15224.7,379.9,5476.0,52.9
316.8,291.4,219.4,271.4,15571.4,546.6,5480.0,76.6
325.2,292.4,225.9,277.3,15512.8,696.7,5511.0,96.8
308.5,291.3,211.2,264.7,15518.7,363.4,5438.0,52.0
309.6,290.2,212.2,264.8,15263.6,394.8,5477.0,56.1
315.9,291.5,218.0,271.3,15610.4,510.5,5450.0,72.6
325.4,292.5,225.1,277.1,15189.7,692.7,5448.0,96.7
313.4,290.8,215.5,268.9,15488.0,481.9,5386.0,65.8
317.3,291.9,219.3,271.4,15728.6,555.7,5557.0,75.4
308.4,291.1,211.7,265.3,15251.4,375.7,5454.0,52.1
311.0,291.4,213.1,266.5,15315.1,413.4,5546.0,57.4
326.1,292.1,225.8,278.1,15414.9,692.3,5540.0,99.3
326.3,293.1,226.0,277.5,15324.5,697.2,5421.0,98.3
308.0,291.0,211.3,264.6,15167.4,355.3,5429.0,50.2
325.5,292.6,225.6,277.0,15410.3,691.7,5611.0,97.6
319.6,292.1,221.4,273.5,15240.7,584.6,5569.0,82.0
324.3,292.7,224.9,276.1,15471.0,663.4,5479.0,93.4
315.8,291.8,218.6,271.2,15262.1,505.7,5492.0,72.7
317.7,292.1,219.0,271.6,15632.5,547.5,5446.0,75.8
316.7,291.4,218.7,271.4,15282.5,524.3,5498.0,74.4
320.0,291.3,221.8,273.7,15351.7,597.9,5440.0,83.3
310.6,291.2,213.1,265.5,15522.0,419.2,5373.0,57.0
308.7,291.2,211.0,264.3,15215.4,363.5,5407.0,51.5
313.5,291.7,215.4,268.8,15434.1,451.0,5473.0,65.4
320.8,292.1,221.9,274.3,15596.1,607.0,5414.0,85.2
312.4,291.8,213.4,267.5,15158.9,436.3,5466.0,60.1
320.6,292.4,221.3,273.9,15427.7,614.6,5414.0,83.7
325.9,292.8,226.5,277.6,15439.0,692.1,5428.0,98.5
309.5,291.4,211.4,265.2,15517.3,393.8,5508.0,54.7
319.7,291.7,222.0,273.8,15214.5,594.1,5477.0,83.6
316.5,292.3,218.2,269.6,15201.9,515.4,5463.0,72.2
324.1,292.5,224.2,277.2,15478.3,692.6,5506.0,93.4
311.9,292.1,213.8,266.9,15444.5,412.0,5485.0,58.9
320.2,291.9,221.7,274.5,15437.6,607.3,5532.0,84.6
323.0,291.5,224.4,275.5,15452.0,661.4,5436.0,91.9
324.2,291.2,226.0,278.1,15298.0,705.8,5436.0,97.2
320.1,291.4,221.0,274.8,15434.8,602.6,5391.0,84.2
317.4,292.3,218.8,270.7,15444.0,537.5,5434.0,74.9
318.9,291.9,220.4,273.3,15292.8,575.2,5502.0,80.9
324.0,292.2,224.5,276.5,15679.9,670.6,5518.0,93.4
318.2,290.9,219.4,271.7,15471.1,558.8,5499.0,78.5
308.7,291.2,211.9,264.8,15221.3,371.6,5361.0,51.5
324.2,291.8,225.8,277.8,15498.5,686.7,5503.0,96.5
320.5,292.1,221.3,273.8,15253.8,607.2,5356.0,84.5
318.7,290.5,220.9,274.3,15518.1,599.1,5492.0,83.8
311.8,291.2,214.0,266.6,15573.8,441.4,5427.0,60.8
319.0,290.6,221.3,273.0,15276.9,592.6,5479.0,82.9
315.7,292.3,217.0,269.8,15544.5,485.9,5376.0,69.7
320.1,292.0,221.5,273.5,15461.9,600.7,5500.0,82.6
310.2,292.1,212.7,265.4,15523.3,390.6,5367.0,55.3
320.6,292.8,221.5,273.9,15684.5,587.3,5406.0,82.9
325.5,291.6,226.6,278.6,15363.2,708.8,5388.0,100.0
309.7,291.8,211.0,265.2,15286.9,381.9,5349.0,52.4
326.1,292.6,226.1,278.0,15266.6,685.7,5441.0,98.9
315.2,291.4,217.6,270.2,15277.6,525.0,5525.0,70.3
324.2,293.0,224.4,276.4,15388.4,678.7,5567.0,93.5
321.5,291.5,223.3,276.1,15451.2,639.2,5437.0,89.1
317.8,291.1,219.6,271.9,15441.5,559.8,5487.0,78.4
321.0,292.2,222.0,275.5,15524.1,624.0,5441.0,86.9
323.5,291.8,224.5,276.7,15402.0,676.5,5454.0,93.9
314.7,291.2,217.2,269.4,15618.0,506.5,5410.0,70.2
314.5,291.9,215.6,269.4,15360.3,478.1,5436.0,66.4
319.9,291.8,221.2,273.7,15808.0,596.9,5452.0,83.4
322.7,292.3,223.1,276.0,15493.9,644.5,5395.0,90.4
321.4,291.1,223.2,275.5,15271.4,628.7,5419.0,88.1
321.5,291.7,223.2,275.7,15239.4,641.0,5418.0,89.9
316.0,292.1,218.2,270.1,15472.4,521.4,5462.0,71.8
321.8,290.9,224.2,276.2,15366.5,655.3,5366.0,90.9
310.1,290.9,212.6,265.9,15507.1,384.0,5415.0,56.0
317.1,291.1,218.9,272.2,15471.0,557.2,5512.0,77.2
309.1,292.1,210.0,263.4,15389.1,360.5,5474.0,50.3
314.3,292.0,215.3,269.0,15273.0,473.4,5482.0,66.2
314.6,291.6,216.0,269.1,15172.8,485.9,5414.0,68.3
315.8,292.3,217.5,270.5,15333.0,507.0,5428.0,69.8
320.1,291.9,221.7,274.3,15528.5,614.2,5461.0,84.8
315.3,292.0,217.0,269.8,15432.1,491.0,5487.0,69.4
316.2,291.4,216.9,270.8,15213.1,520.9,5311.0,72.4
312.4,291.9,214.0,267.2,15426.0,436.4,5341.0,61.9
315.4,292.6,217.0,270.1,15457.8,481.5,5471.0,68.7
312.5,292.7,214.4,268.2,15267.4,434.9,5391.0,61.4
309.5,291.0,211.8,265.4,15423.1,388.3,5370.0,53.7
318.0,291.0,220.5,273.4,15408.7,580.9,5339.0,80.2
319.5,290.7,221.9,273.5,15228.6,600.7,5373.0,83.4
319.1,291.9,220.4,272.7,15453.7,584.8,5330.0,81.0
316.4,291.5,218.1,270.8,15484.1,527.0,5503.0,73.2
314.3,291.5,216.8,269.8,15562.5,488.8,5396.0,69.0
324.7,293.0,225.3,276.3,15558.1,670.2,5393.0,93.2
318.1,291.9,218.1,271.8,15193.3,549.2,5424.0,76.0
316.9,291.8,218.6,271.1,15259.3,534.4,5442.0,74.0
308.5,290.6,211.1,264.2,15477.3,372.8,5440.0,51.3
314.0,291.6,216.4,269.3,15477.1,484.2,5445.0,67.1
314.4,290.4,216.5,269.9,15477.3,495.8,5359.0,69.0
315.2,291.6,217.0,269.9,15977.9,507.6,5374.0,69.9
318.6,291.2,220.2,272.9,15485.6,564.7,5426.0,79.0
317.0,291.0,220.4,271.3,15570.3,541.5,5360.0,76.7
319.1,292.4,220.6,273.0,15543.1,573.5,5385.0,80.4
321.7,292.0,222.5,274.6,15497.7,624.4,5404.0,88.2
321.7,290.8,223.4,275.3,15352.7,642.0,5422.0,90.6
320.5,291.5,221.9,274.1,15513.8,613.0,5293.0,85.9
325.0,291.9,225.1,277.4,15284.1,691.4,5416.0,97.8
309.3,292.2,210.9,264.2,15364.5,362.5,5368.0,50.9
311.8,291.2,214.1,266.9,15327.2,416.2,5414.0,59.8
307.5,290.6,210.4,264.6,15412.3,361.3,5416.0,50.4
319.9,291.2,221.4,273.3,15747.2,589.0,5456.0,82.4
323.4,291.1,225.1,276.3,15119.9,670.8,5442.0,94.9
312.9,291.8,214.3,268.1,15502.9,448.6,5441.0,62.2
324.5,292.1,225.3,277.0,15158.1,697.9,5444.0,96.4
309.0,291.1,212.3,265.0,15329.2,370.5,5385.0,53.0
325.5,292.4,225.8,277.6,15563.3,684.2,5371.0,96.7
313.7,290.5,216.3,269.3,15409.6,478.0,5412.0,67.6
309.1,290.6,212.3,266.1,15238.3,388.6,5404.0,55.1
316.5,291.3,218.4,271.3,15292.7,537.4,5351.0,74.3
313.1,291.7,214.6,267.5,15501.9,448.1,5385.0,62.8
312.4,290.5,214.4,269.1,15290.4,457.6,5362.0,64.2
312.1,290.2,216.4,268.6,15432.5,454.3,5320.0,65.4
322.2,291.6,223.5,275.5,15406.8,650.3,5426.0,90.2
318.0,291.9,219.4,272.2,15302.3,540.7,5363.0,77.0
314.2,292.7,215.6,268.7,15721.6,469.2,5461.0,65.6
318.8,291.1,220.1,273.0,15495.1,577.9,5276.0,80.5
320.7,291.1,222.0,275.4,15096.2,625.2,5329.0,85.8
313.5,292.2,214.4,268.0,15428.0,446.6,5357.0,63.6
314.5,290.4,218.2,269.9,15300.7,484.0,5411.0,70.7
310.0,290.9,212.2,266.0,15527.9,402.1,5373.0,56.1
311.4,291.2,213.2,267.2,15281.1,432.9,5367.0,59.1
320.5,292.0,221.3,273.3,15382.8,611.4,5294.0,84.1
311.0,291.5,214.1,266.0,15475.7,423.6,5291.0,59.1
317.5,291.9,219.0,271.4,15529.9,541.5,5364.0,76.3
319.5,290.9,221.4,273.6,15220.0,617.9,5279.0,85.5
309.6,290.5,212.9,265.5,15349.8,390.3,5319.0,55.3
318.4,291.6,220.0,272.5,15328.8,564.0,5370.0,78.4
312.1,290.0,215.0,267.5,15302.0,452.4,5294.0,62.8
325.4,291.9,226.2,277.3,15664.8,712.2,5422.0,98.1
316.9,292.1,219.3,271.1,15460.7,550.8,5402.0,74.2
322.3,292.0,224.3,276.0,15210.9,649.2,5261.0,90.3
318.0,291.7,219.1,271.3,15537.7,550.3,5292.0,77.5
308.3,290.7,212.1,265.1,15718.3,372.9,5223.0,52.2
319.3,291.5,220.9,273.5,15554.9,569.4,5297.0,81.7
325.4,292.5,225.9,278.1,15172.1,690.8,5373.0,97.6
318.9,292.1,219.5,273.2,15327.4,569.3,5313.0,80.1
322.5,291.2,223.6,276.7,15590.0,645.6,5356.0,91.0
324.0,292.3,224.4,276.6,15293.8,675.0,5255.0,94.2
312.5,292.0,214.7,267.5,15466.6,434.0,5370.0,61.4
310.8,290.2,214.5,267.0,15516.2,440.1,5301.0,60.6
319.6,292.6,219.5,272.9,15261.0,575.9,5328.0,80.5
315.2,292.2,217.2,270.6,15391.1,504.4,5322.0,70.6
323.3,292.2,224.4,275.6,14913.8,654.7,5262.0,92.0
324.8,292.8,224.9,276.6,15246.3,680.7,5266.0,95.0
313.7,290.6,216.6,269.8,15362.1,489.4,5371.0,67.7
311.9,291.1,214.6,268.0,15212.8,436.8,5342.0,61.8
321.9,292.0,223.2,275.1,15644.9,630.7,5373.0,89.0
312.6,291.1,215.0,268.4,15185.5,453.8,5336.0,63.7
323.7,292.6,223.2,276.0,15334.0,639.3,5325.0,91.1
315.2,291.2,217.0,270.8,15419.6,503.2,5231.0,71.2
319.7,292.0,221.5,273.7,15616.2,592.2,5302.0,83.4
309.8,291.4,212.3,266.0,15184.6,396.4,5313.0,54.8
318.6,291.5,220.5,274.1,15574.5,582.7,5411.0,81.2
315.9,291.3,217.7,270.9,15401.5,520.4,5346.0,72.6
318.7,292.1,219.9,272.5,15252.8,574.0,5388.0,79.3
310.9,291.2,213.8,266.9,15469.3,416.8,5340.0,58.4
321.2,291.6,222.2,274.5,15429.9,624.3,5273.0,86.8
323.3,291.9,223.8,277.4,15310.0,665.0,5313.0,93.1
311.1,290.3,214.5,267.3,15410.5,436.6,5318.0,60.8
309.9,291.2,212.2,265.4,15342.2,388.5,5258.0,54.8
309.3,292.1,211.1,264.2,15417.0,353.5,5284.0,51.2
319.6,291.9,221.5,273.8,15499.3,585.9,5292.0,82.1
319.0,291.5,220.3,273.2,15637.9,586.0,5382.0,80.4
318.2,292.4,219.5,271.8,15214.3,560.1,5196.0,77.3
311.5,290.9,213.9,267.7,15720.0,446.4,5359.0,61.6
315.9,292.2,216.8,269.1,15107.2,505.8,5251.0,69.5
318.8,291.4,220.4,272.7,15377.2,570.7,5228.0,79.7
317.8,292.4,218.0,271.4,15488.2,536.6,5354.0,74.8
325.4,291.7,226.4,278.9,15442.1,704.5,5331.0,99.4
311.4,292.2,212.9,265.8,15306.6,404.5,5356.0,56.8
320.9,292.1,221.7,273.6,15368.8,611.2,5332.0,84.8
315.6,291.2,217.5,269.6,15326.0,510.5,5393.0,70.2
315.8,291.6,217.6,269.7,15311.6,509.6,5317.0,71.4
320.8,291.7,222.6,274.9,15527.4,610.2,5280.0,85.9
321.1,292.7,221.3,274.7,15453.6,605.1,5304.0,84.6
325.9,292.1,226.4,278.4,15296.1,717.9,5348.0,99.6
309.3,290.8,212.8,266.5,15534.9,395.3,5245.0,56.4
309.3,290.1,212.0,265.7,15446.1,382.0,5251.0,55.2
320.9,292.2,222.5,274.4,15521.9,611.7,5267.0,86.2
318.6,291.8,220.8,272.3,15494.4,554.6,5176.0,78.9
312.9,291.6,215.1,268.0,15275.7,452.3,5287.0,63.7
310.0,291.8,212.2,264.7,15316.0,385.1,5184.0,54.0
308.6,290.6,212.1,265.5,15512.1,385.7,5280.0,54.3
324.2,292.0,224.5,276.9,15491.6,690.9,5319.0,94.7
310.5,290.1,213.0,267.2,15396.9,428.0,5251.0,59.6
314.2,292.3,215.6,268.8,15417.6,475.1,5357.0,66.2
312.0,291.3,213.8,267.4,15591.6,442.3,5199.0,61.3
314.6,291.8,217.0,268.9,15311.3,476.7,5331.0,67.7
308.8,291.1,211.8,265.2,15482.1,387.9,5304.0,53.5
318.0,292.0,218.8,271.9,15369.7,542.5,5183.0,76.0
309.7,291.9,212.2,264.7,15367.3,385.3,5403.0,53.4
322.7,292.1,222.9,275.6,15564.8,634.0,5263.0,90.0
312.1,291.3,214.1,267.6,15523.8,431.5,5221.0,61.7
318.0,292.0,219.3,271.6,15522.0,556.9,5194.0,77.0
323.5,291.3,225.0,276.5,15595.8,675.7,5252.0,94.0
320.1,292.0,221.2,273.5,15403.2,582.7,5255.0,82.5
318.4,292.9,219.2,271.3,15502.3,541.4,5266.0,76.6
314.4,292.3,215.9,268.9,15353.5,480.9,5244.0,66.2
313.6,291.1,216.2,268.6,15448.6,468.6,5290.0,66.7
320.2,292.1,221.4,274.1,15380.5,610.6,5237.0,83.5
325.2,291.5,226.0,279.3,15414.5,703.9,5159.0,99.7
320.2,292.5,221.2,273.3,15489.3,599.4,5247.0,83.1
318.3,291.9,219.1,272.3,15277.3,554.3,5135.0,77.9
320.2,291.0,222.3,274.3,15713.9,623.9,5270.0,86.5
315.8,291.4,217.9,271.2,15249.1,519.8,5202.0,73.3
308.9,290.8,212.7,264.5,15217.9,378.1,5258.0,53.0
318.0,292.0,219.6,272.4,15573.7,558.8,5314.0,78.1
324.6,291.1,225.3,277.4,15518.7,690.0,5200.0,97.9
311.3,292.0,213.5,266.6,15493.6,424.5,5299.0,58.8
320.5,291.9,221.8,273.6,15494.3,599.8,5223.0,84.5
311.5,291.2,214.6,267.4,15398.2,428.0,5331.0,60.0
317.3,290.7,219.0,271.5,15265.4,541.4,5224.0,76.8
310.3,291.6,211.6,265.8,15411.4,378.0,5199.0,54.8
316.9,292.1,218.2,270.5,15298.4,517.1,5274.0,72.5
321.4,291.5,222.1,274.9,15546.3,649.0,5217.0,87.8
314.0,291.1,216.0,269.2,15377.9,487.0,5196.0,67.4
320.2,292.4,221.1,273.3,15276.2,595.0,5213.0,83.2
322.1,291.9,223.3,275.6,15351.8,639.5,5233.0,89.8
324.6,292.1,225.6,278.0,15461.9,689.2,5301.0,96.4
312.6,291.4,214.2,267.2,15315.4,444.8,5136.0,61.7
314.2,290.3,216.9,270.3,15276.7,492.0,5233.0,70.0
311.4,292.5,213.1,267.0,15436.6,418.4,5262.0,57.6
325.9,292.0,226.4,278.0,15436.7,719.4,5239.0,99.6
324.5,292.4,225.4,276.8,15324.0,695.8,5293.0,96.4
317.7,291.6,219.4,272.0,15329.3,553.9,5223.0,77.0
323.1,292.0,224.3,275.9,15434.8,658.7,5216.0,92.1
316.5,291.1,219.1,272.3,15182.8,548.9,5254.0,76.0
320.0,292.9,220.8,273.1,15188.9,585.2,5228.0,81.2
309.6,291.2,211.5,265.1,15292.2,387.4,5202.0,54.5
321.8,292.0,222.7,274.5,15368.0,622.5,5247.0,87.8
310.8,291.7,213.0,266.4,15446.6,403.7,5187.0,56.4
322.4,291.6,224.1,275.7,15621.3,667.0,5188.0,91.3
322.3,292.5,222.8,275.3,15528.6,626.0,5191.0,89.1
320.6,291.7,221.6,274.6,15376.0,598.3,5284.0,85.4
309.1,291.7,211.1,264.5,15397.1,371.3,5054.0,51.8
312.4,290.9,215.7,268.5,15249.6,466.2,5233.0,65.2
312.7,291.5,215.3,267.9,15397.2,452.7,5214.0,63.2
314.2,291.3,216.3,269.6,15356.7,487.9,5127.0,68.0
309.8,291.0,212.5,265.7,15448.4,387.6,5225.0,54.4
325.1,291.6,225.6,277.4,15275.9,706.9,5233.0,96.8
317.6,291.5,219.4,272.1,15477.9,543.0,5237.0,77.7
313.1,291.1,215.5,268.4,15629.9,461.3,5074.0,65.3
315.1,291.3,217.3,269.2,15383.7,498.7,5273.0,69.8
315.6,291.2,217.9,270.7,15460.3,505.5,5167.0,72.4
319.2,292.2,221.1,273.5,15503.5,570.8,5237.0,80.0
317.1,291.8,218.5,271.2,15339.8,554.4,5239.0,75.8
323.1,290.7,225.4,276.9,15433.6,686.4,5157.0,96.0
316.8,291.2,218.4,270.9,15401.9,536.9,5232.0,74.8
325.3,292.0,226.0,278.6,15414.7,699.6,5179.0,99.6
322.5,291.2,224.2,276.5,15284.0,656.2,5093.0,92.6
311.1,290.9,214.1,267.1,15403.7,429.8,5254.0,60.4
324.8,292.0,226.6,277.0,15474.7,687.1,5156.0,96.5
310.8,291.7,212.5,265.9,15617.7,406.3,5150.0,55.8
322.9,292.2,223.2,275.2,15543.9,654.8,5172.0,90.9
314.5,291.2,216.9,269.7,15723.0,485.9,5204.0,69.0
324.0,292.4,223.7,277.0,15284.9,673.7,5187.0,93.9
323.4,291.7,224.4,276.0,15530.8,672.5,5216.0,93.4
322.2,291.1,223.4,275.0,15427.5,655.9,5120.0,90.3
321.6,291.3,223.5,276.1,15728.5,654.1,5149.0,89.5
312.6,290.8,215.9,268.3,15278.8,459.8,5179.0,65.2
309.3,290.9,211.8,265.8,15274.0,382.0,5278.0,54.0
315.3,291.5,217.0,269.9,15310.1,492.7,5177.0,70.1
311.1,291.5,213.2,266.6,15081.4,418.2,5235.0,58.7
320.3,291.4,221.2,274.2,15321.1,609.9,5182.0,84.7
313.8,290.5,216.3,268.8,15286.1,487.9,5155.0,67.3
325.9,292.4,225.6,278.1,15422.6,705.5,5165.0,98.8
318.9,291.0,220.7,273.1,15451.3,584.0,5168.0,82.0
323.2,292.1,223.3,275.4,15681.4,652.9,5205.0,91.1
309.9,290.7,213.1,266.2,15542.6,400.1,5243.0,56.6
323.1,291.8,225.0,276.3,15313.5,685.1,5191.0,93.1
323.9,291.4,224.8,277.2,15265.2,671.9,5231.0,96.1
316.5,291.5,217.7,270.6,15473.8,533.0,5122.0,74.4
319.4,292.8,220.2,273.4,15202.0,590.5,5148.0,80.3
322.0,292.1,222.8,275.4,15674.7,631.0,5132.0,88.2
311.6,291.9,213.6,267.1,15576.9,418.9,5182.0,58.7
317.3,291.8,218.5,271.2,15329.6,534.5,5148.0,75.1
314.6,290.7,216.9,269.2,15143.0,498.8,5201.0,69.9
310.5,290.9,213.2,267.1,15603.1,417.7,5117.0,57.3
314.2,291.0,217.0,269.4,15382.8,473.8,5164.0,68.4
309.9,291.9,211.0,264.9,15585.7,390.1,5195.0,53.4
307.9,291.2,211.0,264.7,15160.8,359.4,5056.0,51.3
310.9,291.5,213.0,266.6,15310.1,404.3,5264.0,56.8
325.8,292.5,225.6,277.9,15400.8,697.6,5143.0,98.2
318.8,292.6,220.1,272.5,15407.0,558.5,5055.0,77.5
